state,county,pop_total_2015,median_age_2015,median_income_2015,households_median_value_2015,households_avg_size_2015,households_total_2015,households_median_gross_rent_2015,mean_travel_time_2015,pop_total_male_rate_2015,pop_total_female_rate_2015,pop_18_39_male_rate_2015,pop_18_39_female_rate_2015,pop_40_64_male_rate_2015,pop_40_64_female_rate_2015,pop_over_65_male_rate_2015,pop_over_65_female_rate_2015,veterans_rate_2015,inmigrants_rate_2015,white_rate_2015,black_rate_2015,native_rate_2015,asian_rate_2015,pacific_rate_2015,other_rate_2015,hispanic_rate_2015,two_more_races_rate_2015,high_school_rate_2015,bachelors_rate_2015,poverty_rate_2015,households_renter_rate_2015,households_owner_rate_2015,unemployment_rate_2015,public_transport_rate_2015,no_health_insurance_rate_2015,county_fips
01,001,55221,37.7,51281.0,141300.0,2.68,20396,883.0,23675,48.43,51.57,13.93,14.41,15.94,16.75,5.82,7.72,9.97,1.56,77.4,18.68,0.42,0.97,0.04,0.93,2.61,1.57,17.86,8.87,12.78,26.08,73.92,7.64,0.04,9.97,01001
01,003,195121,42.2,50254.0,169300.0,2.6,74104,879.0,81184,48.85,51.15,12.44,12.29,16.6,18.17,8.44,9.69,10.05,3.53,86.43,9.6,0.6,0.67,0.0,0.96,4.5,1.74,16.53,13.52,13.22,28.48,71.52,7.5,0.06,12.81,01003
01,005,26932,38.8,32964.0,92200.0,2.61,9222,579.0,8329,53.83,46.17,18.71,11.77,17.08,15.08,6.91,9.15,7.58,2.74,47.36,46.77,0.19,0.91,0.0,3.45,4.61,1.33,18.29,5.24,23.84,36.41,63.59,17.65,0.13,13.86,01005
01,007,22604,38.9,38678.0,102700.0,2.95,7027,651.0,8089,53.41,46.59,17.23,12.34,18.55,15.72,6.43,7.97,5.23,1.11,76.65,21.44,0.41,0.09,0.0,0.03,2.22,1.37,23.59,4.19,15.43,24.89,75.11,8.31,0.19,8.88,01007
01,009,57710,40.7,45813.0,119800.0,2.74,20816,601.0,21450,49.41,50.59,13.0,12.25,17.06,17.49,7.34,9.14,7.56,4.15,95.1,1.53,0.56,0.14,0.0,0.96,8.63,1.7,18.75,5.88,16.55,21.1,78.9,7.67,0.15,11.54,01009
01,011,10678,39.3,31938.0,68600.0,2.73,3683,570.0,3740,53.01,46.99,17.33,12.77,19.16,15.23,6.06,8.53,4.01,5.37,26.64,70.71,1.16,0.21,0.0,0.0,4.43,1.28,20.31,4.53,23.28,29.16,70.84,17.98,0.26,17.12,01011
01,013,20354,40.5,32229.0,78900.0,2.49,8056,575.0,7610,46.68,53.32,11.7,14.01,15.63,17.62,7.22,10.59,7.16,0.71,54.16,44.03,0.06,0.4,0.0,0.29,1.18,1.07,22.67,5.76,25.03,29.94,70.06,10.91,0.0,12.08,01013
01,015,116648,39.1,41703.0,105900.0,2.52,45154,637.0,45108,48.24,51.76,13.75,14.69,16.41,17.31,6.51,8.98,9.32,2.56,75.11,20.48,0.19,0.86,0.01,1.0,3.49,2.35,17.26,7.23,20.0,30.95,69.05,12.28,0.08,11.73,01015
01,017,34079,43.0,34177.0,80800.0,2.44,13787,658.0,13249,47.71,52.29,12.13,13.18,17.2,17.91,7.43,10.53,7.19,1.06,57.67,40.31,0.17,0.76,0.03,0.04,0.45,1.03,21.42,5.28,21.34,32.41,67.59,8.91,0.07,13.72,01017
01,019,26008,45.4,36296.0,105100.0,2.28,11278,621.0,9631,49.89,50.11,11.09,11.37,19.12,18.04,9.06,10.77,8.99,1.0,92.92,4.93,0.55,0.34,0.02,0.07,1.5,1.18,21.96,5.69,18.91,22.32,77.68,7.9,0.08,9.77,01019
01,021,43819,38.8,41627.0,100100.0,2.68,16237,661.0,17215,49.34,50.66,13.98,13.83,16.51,16.52,6.67,8.26,7.48,5.32,84.05,10.33,0.36,0.29,0.0,4.12,7.65,0.85,22.59,6.1,18.91,23.57,76.43,9.15,0.07,15.89,01021
01,023,13395,44.9,33536.0,61100.0,2.37,5575,497.0,4214,47.64,52.36,11.35,11.38,16.74,19.25,8.86,11.39,6.52,0.16,55.89,43.31,0.01,0.0,0.0,0.01,0.36,0.77,23.04,5.23,23.09,18.44,81.56,13.58,0.02,13.32,01023
01,025,25070,41.1,32011.0,86900.0,2.57,9622,545.0,7960,47.2,52.8,12.2,13.08,16.05,18.21,7.56,9.95,5.57,0.5,53.56,45.26,0.03,0.36,0.38,0.1,0.34,0.32,26.04,5.74,24.36,33.78,66.22,19.37,0.07,14.99,01025
01,027,13537,43.8,35327.0,84100.0,2.45,5419,451.0,4926,49.28,50.72,10.19,12.57,18.52,17.85,8.62,10.27,8.34,2.14,81.74,14.5,0.78,0.0,0.0,1.42,3.18,1.57,22.21,4.08,16.26,25.65,74.35,9.36,0.21,14.09,01027
01,029,15002,41.3,38056.0,108000.0,2.57,5776,557.0,5648,48.89,51.11,12.07,12.66,17.31,17.06,7.85,9.85,5.25,1.54,93.97,2.95,0.22,0.35,0.0,0.57,2.3,1.94,21.4,4.81,16.72,22.61,77.39,8.3,0.04,13.53,01029
01,031,50884,38.8,46729.0,142400.0,2.62,19160,683.0,21039,49.47,50.53,14.05,13.89,16.5,16.32,6.72,8.7,13.0,4.24,76.78,17.35,0.93,1.23,0.0,0.78,6.44,2.92,15.82,10.32,16.86,32.36,67.64,7.09,0.02,11.15,01031
01,033,54444,42.2,40576.0,99400.0,2.43,22204,632.0,20593,48.31,51.69,12.03,13.06,17.19,17.9,7.74,10.32,7.46,1.86,79.55,15.57,0.57,0.33,0.06,1.26,2.43,2.65,18.96,7.9,17.28,28.69,71.31,9.02,0.09,11.04,01033
01,035,12865,43.7,24900.0,70100.0,2.48,5168,522.0,3622,48.01,51.99,11.4,11.81,16.76,18.35,8.73,10.84,7.55,1.02,52.16,44.71,0.29,0.05,0.0,0.02,1.63,2.78,26.82,3.11,33.58,22.76,77.24,22.57,0.0,20.72,01035
01,037,11027,45.1,31212.0,78300.0,2.42,4450,597.0,3625,50.59,49.41,12.75,10.75,20.4,19.71,8.01,9.85,7.66,1.79,67.35,30.69,0.06,0.0,0.0,0.0,2.15,1.9,23.32,3.7,18.8,20.67,79.33,17.02,0.17,15.15,01037
01,039,37886,42.6,36444.0,93600.0,2.49,14949,599.0,13650,48.41,51.59,12.07,12.72,16.5,16.94,8.24,11.34,8.5,1.07,84.34,13.02,0.45,0.31,0.06,0.45,1.53,1.37,18.56,6.73,19.84,25.27,74.73,11.22,0.07,13.08,01039
01,041,13938,41.3,36022.0,70600.0,2.56,5383,520.0,5281,49.24,50.76,12.45,13.06,17.21,17.17,7.21,9.84,6.63,2.35,71.5,23.51,0.77,1.82,0.0,1.1,1.7,1.29,21.9,6.85,16.42,29.65,70.35,9.73,0.0,12.1,01041
01,043,80965,40.5,38971.0,115200.0,2.55,31287,625.0,31018,49.5,50.5,13.47,13.09,16.88,16.65,7.52,9.81,7.07,2.47,95.69,1.19,0.41,0.56,0.03,0.74,4.31,1.39,19.44,6.29,18.3,24.74,75.26,7.25,0.03,14.82,01043
01,045,49866,36.8,45028.0,101700.0,2.56,19018,629.0,20184,49.55,50.45,15.69,14.22,15.03,16.26,6.39,8.51,13.12,3.24,74.66,19.65,0.52,1.18,0.02,1.19,5.98,2.78,16.86,7.22,18.66,38.0,62.0,10.91,0.06,12.71,01045
01,047,42154,38.7,27306.0,81500.0,2.53,16413,564.0,13277,46.14,53.86,11.96,14.26,14.89,18.1,6.38,8.87,6.02,0.79,28.67,69.18,0.18,0.34,0.05,0.16,0.31,1.41,19.57,5.31,34.59,41.16,58.84,16.39,0.09,13.86,01047
01,049,71068,39.3,38192.0,98500.0,2.81,25013,540.0,26779,49.92,50.08,12.77,12.94,17.11,17.09,6.56,8.36,5.75,7.6,86.42,1.82,1.23,0.31,1.03,6.95,14.01,2.25,19.01,4.18,18.48,26.75,73.25,7.71,0.02,16.71,01049
01,051,80763,37.9,53555.0,147500.0,2.65,28651,785.0,32298,48.74,51.26,14.52,14.96,16.28,17.86,6.07,7.25,9.19,2.1,75.52,21.22,0.27,0.52,0.0,0.68,2.76,1.8,18.16,9.06,12.8,25.12,74.88,8.26,0.05,8.78,01051
01,053,37935,40.3,32330.0,93800.0,2.6,13659,560.0,11930,51.47,48.53,14.9,12.38,18.49,15.83,6.97,9.17,7.06,0.57,61.43,33.42,3.18,0.13,0.0,0.38,1.23,1.46,22.52,5.74,22.69,28.44,71.56,15.63,0.14,17.38,01053
01,055,103766,40.8,39220.0,100400.0,2.56,39899,621.0,38652,48.38,51.62,13.22,13.41,16.57,17.65,7.14,9.74,7.54,2.69,81.25,15.44,0.33,0.65,0.1,0.7,3.6,1.52,17.79,6.95,19.35,28.64,71.36,9.03,0.13,12.99,01055
01,057,16896,43.2,34680.0,75200.0,2.36,7037,469.0,5896,50.17,49.83,12.26,12.49,17.37,17.2,8.35,10.66,7.28,0.45,85.55,12.39,0.0,0.39,0.0,0.0,0.75,1.67,21.63,5.91,18.08,25.93,74.07,10.02,0.01,9.37,01057
01,059,31634,38.8,35372.0,85600.0,2.62,11980,534.0,11992,48.4,51.6,14.63,13.22,15.15,16.8,7.02,8.95,4.45,8.82,88.27,4.91,1.18,0.09,0.12,4.19,15.67,1.23,20.6,4.94,22.19,32.41,67.59,9.76,0.06,15.7,01059
