state,county,pop_total_2019,median_age_2019,median_income_2019,households_median_value_2019,households_avg_size_2019,households_total_2019,households_median_gross_rent_2019,mean_travel_time_2019,pop_total_male_rate_2019,pop_total_female_rate_2019,pop_18_39_male_rate_2019,pop_18_39_female_rate_2019,pop_40_64_male_rate_2019,pop_40_64_female_rate_2019,pop_over_65_male_rate_2019,pop_over_65_female_rate_2019,veterans_rate_2019,inmigrants_rate_2019,white_rate_2019,black_rate_2019,native_rate_2019,asian_rate_2019,pacific_rate_2019,other_rate_2019,hispanic_rate_2019,two_more_races_rate_2019,high_school_rate_2019,bachelors_rate_2019,poverty_rate_2019,households_renter_rate_2019,households_owner_rate_2019,unemployment_rate_2019,public_transport_rate_2019,no_health_insurance_rate_2019,county_fips
28,093,35599,40.4,42233,107900,2.62,12772,722,13304,49.32,50.68,13.98,14.07,17.24,16.39,7.44,9.54,5.06,1.56,49.48,47.8,0.07,0.0,0.0,1.79,3.69,0.85,21.88,7.0,17.63,24.49,75.51,6.72,0.13,12.55,28093
28,095,35673,41.1,42354,91700,2.52,13966,618,13233,47.66,52.34,12.92,13.17,15.23,16.99,8.06,10.92,5.4,0.82,68.09,31.21,0.02,0.09,0.0,0.05,1.26,0.55,19.51,7.54,17.17,25.7,74.3,5.04,0.07,10.03,28095
28,097,10068,41.6,39840,84800,2.19,4539,554,3898,46.54,53.46,13.36,13.03,14.21,15.94,9.04,11.7,5.02,0.83,52.88,44.16,0.0,0.29,0.0,0.55,1.39,2.13,19.77,8.75,26.68,30.76,69.24,6.87,0.0,9.17,28097
28,099,29332,37.3,37987,83000,2.71,10657,666,10966,47.69,52.31,12.14,13.18,14.91,16.45,6.87,8.81,4.39,1.45,59.98,20.95,16.69,0.54,0.03,0.19,2.13,1.63,18.15,4.76,25.19,28.45,71.55,10.02,0.15,11.89,28099
28,101,21360,37.0,35958,85600,2.57,8037,658,7761,47.01,52.99,12.88,14.63,14.99,16.03,6.87,9.25,6.11,1.21,61.4,30.5,5.31,0.52,0.0,1.03,1.91,1.24,16.37,7.54,24.84,22.84,77.16,5.45,0.11,11.2,28101
28,103,10700,37.0,33784,59700,2.63,3986,532,3785,46.66,53.34,13.52,14.36,14.52,16.6,6.7,9.24,2.9,1.17,27.25,72.16,0.0,0.05,0.0,0.0,1.4,0.54,16.99,7.59,31.83,27.07,72.93,11.25,0.0,14.66,28103
28,105,49512,26.1,40453,162900,2.51,17798,788,19300,49.96,50.04,26.22,24.23,9.98,11.12,4.87,6.16,3.26,4.1,57.37,36.98,0.11,3.3,0.06,0.53,1.69,1.64,8.9,10.68,27.26,48.3,51.7,8.42,0.23,9.3,28105
28,107,34190,38.3,38304,83300,2.72,12488,679,11924,48.21,51.79,13.25,13.64,15.35,17.34,6.73,8.62,3.85,1.35,48.69,48.6,0.19,0.01,0.06,0.14,2.04,2.3,20.04,6.26,20.11,30.37,69.63,6.93,0.03,12.86,28107
28,109,55219,40.9,46901,138200,2.56,21020,765,20379,49.46,50.54,13.59,12.81,15.75,16.96,8.44,9.97,6.87,1.51,83.75,12.78,0.57,0.25,0.0,0.58,3.09,2.07,14.95,7.83,16.64,22.2,77.8,8.3,0.0,14.01,28109
28,111,12006,41.9,42469,86700,2.57,4623,608,4417,48.7,51.3,11.74,12.99,17.56,17.32,7.45,9.77,5.89,0.93,79.03,19.82,0.0,0.15,0.0,0.0,1.51,1.01,21.68,5.22,18.77,17.76,82.24,8.33,0.0,13.75,28111
